project_id,name,url,category,subcategory,location,status,goal,pledged,funded_percentage,backers,funded_date,levels,reward_levels,updates,comments,duration
453950328,Alchemyst Card Game,http://www.kickstarter.com/projects/465613379/alchemyst-card-game,Games,Board & Card Games,"Orlando, FL",live,6000.0,771.0,0.128541667,25,2012-06-24 21:49:05+00:00,10,"$1,$3,$15,$25,$30,$50,$50,$100,$125,$125",0,0,30.0
457508753,Kittens in a Blender: The Card Game,http://www.kickstarter.com/projects/1187581581/kittens-in-a-blender-the-card-game,Games,Board & Card Games,"Seattle, WA",successful,15000.0,20803.0,1.386834,577,2012-05-13 06:59:00+00:00,12,"$1,$12,$20,$25,$45,$70,$70,$100,$125,$200,$500,$500",12,88,24.29
458423623,Green's Cube: The Physics Boardgame,http://www.kickstarter.com/projects/417209192/greens-cube-the-physics-boardgame,Games,Board & Card Games,"Ruston, LA",failed,10000.0,821.0,0.0821,17,2011-08-21 15:43:51+00:00,15,"$2,$5,$10,$25,$50,$75,$100,$110,$150,$150,$170,$170,$200,$400,$1,000",0,1,90.0
465686815,Playtest Drunken Wizards,http://www.kickstarter.com/projects/regisfrey/playtest-drunken-wizards,Games,Board & Card Games,"Pittsburgh, PA",failed,5000.0,1352.0,0.270484,71,2011-04-03 15:00:00+00:00,3,"$1,$20,$100",3,7,38.94
467667620,The Cyberbully Board Game,http://www.kickstarter.com/projects/1739898884/the-cyberbully-board-game,Games,Board & Card Games,"Phoenix, AZ",live,20000.0,2075.0,0.10375,21,2012-06-15 13:55:52+00:00,13,"$1,$5,$10,$25,$40,$55,$70,$100,$200,$500,$1,000,$3,000,$5,000",1,0,45.0
469981550,Star Punch - Punch Card Reward System for Kids,http://www.kickstarter.com/projects/cgingerich/star-punch-punch-card-reward-system-for-kids,Games,Board & Card Games,"De Pere, WI",failed,1000.0,10.0,0.01,1,2011-11-25 18:46:49+00:00,4,"$1,$5,$10,$20",0,0,60.04
474885383,the SPECTRUM deck playing cards,http://www.kickstarter.com/projects/1790617455/the-spectrum-deck,Games,Board & Card Games,"Colorado Springs, CO",successful,3000.0,21142.0,7.047176667,476,2012-03-20 00:31:10+00:00,26,"$1,$5,$10,$18,$20,$25,$27,$29,$34,$40,$45,$46,$53,$54,$75,$80,$102,$115,$117,$140,$198,$230,$242,$288,$999,$1,800",26,103,29.96
484303413,A Play on Words,http://www.kickstarter.com/projects/90998762/a-play-on-words,Games,Board & Card Games,"Las Vegas, NV",successful,800.0,800.0,1.0,11,2011-09-23 13:40:55+00:00,6,"$3,$25,$50,$100,$200,$300",1,3,30.0
484736724,Sedition Wars: Battle for Alabaster,http://www.kickstarter.com/projects/coolminiornot/sedition-wars-battle-for-alabaster,Games,Board & Card Games,"Atlanta, GA",live,20000.0,120865.0,6.04325,893,2012-06-30 21:00:00+00:00,12,"$10,$25,$80,$100,$190,$280,$350,$1,500,$1,505,$2,000,$3,000,$5,000",11,452,36.38
485560467,Hollywood Hookups - #1 Romantically Linked Game,http://www.kickstarter.com/projects/1928668695/hollywood-hookups-1-romantically-linked-game,Games,Board & Card Games,"Minneapolis, MN",failed,8000.0,565.0,0.070625,2,2012-01-02 03:00:22+00:00,9,"$1,$15,$22,$25,$40,$55,$65,$80,$120",0,0,31.0
487331585,e-Factor!TM - Fun with Ethics game,http://www.kickstarter.com/projects/370973303/e-factortm-fun-with-ethics-game,Games,Board & Card Games,"Phoenix, AZ",successful,4000.0,4001.0,1.00025,25,2011-09-09 18:56:50+00:00,9,"$1,$10,$30,$50,$100,$150,$250,$500,$1,000",11,2,30.0
490315089,Glory To Rome &lt;&lt; Black Box Edition &gt;&gt; Rome Demands BEAUTY!,http://www.kickstarter.com/projects/cambridgegames/glory-to-rome-black-box-edition-rome-demands-beaut,Games,Board & Card Games,"Cambridge, MA",successful,21000.0,73103.0,3.481080952,1612,2011-08-22 06:06:18+00:00,8,"$7,$8,$35,$65,$75,$150,$175,$750",24,193,21.0
492820343,DungeonMorph Dice (Dungeon Geomorphs),http://www.kickstarter.com/projects/inkwellideas/dungeonmorph-dice-dungeon-geomorphs,Games,Board & Card Games,"Ashburn, VA",successful,6500.0,20620.0,3.172353846,379,2011-05-22 22:00:29+00:00,16,"$7,$9,$12,$20,$40,$60,$80,$100,$120,$135,$150,$150,$165,$180,$210,$255",30,120,61.0
495552491,From Nothing,http://www.kickstarter.com/projects/1264985115/from-nothing,Games,Board & Card Games,"Norman, OK",failed,15000.0,230.0,0.015333333,7,2012-02-20 03:05:31+00:00,4,"$1,$5,$25,$50",3,0,30.0
501635474,Forceball: Futurisitic Hockey / Lacrosse Card Game,http://www.kickstarter.com/projects/674003445/forceball-futurisitic-hockey-lacrosse-card-game,Games,Board & Card Games,"Indianapolis, IN",successful,500.0,2107.0,4.213,102,2011-10-21 18:36:55+00:00,11,"$10,$12,$22,$30,$32,$60,$70,$300,$360,$600,$720",9,14,14.0
505690356,Art of War D10,http://www.kickstarter.com/projects/176720349/art-of-war-d10,Games,Board & Card Games,"Carmichaels, PA",failed,15000.0,15.0,0.001,1,2012-03-02 13:19:51+00:00,5,"$15,$30,$50,$75,$100",1,0,30.0
513839119,Crow and the Pitcher - An Aesop Card Game,http://www.kickstarter.com/projects/5thstreetgames/crow-and-the-pitcher-an-aesop-card-game,Games,Board & Card Games,"Salt Lake City, UT",successful,1000.0,1216.0,1.216,79,2011-12-05 21:01:51+00:00,5,"$10,$15,$20,$30,$40",18,10,31.04
518404340,PeriodicTable of Elements Dice,http://www.kickstarter.com/projects/1905752814/periodictable-of-elements-dice,Games,Board & Card Games,"Seattle, WA",successful,2500.0,2555.0,1.022,131,2011-03-28 09:08:05+00:00,8,"$1,$5,$10,$15,$20,$25,$50,$100",5,48,44.96
518804435,Rusty Axe Games Dungeon Tiles,http://www.kickstarter.com/projects/1709273843/rusty-axe-games-dungeon-tiles,Games,Board & Card Games,"Scottsdale, AZ",failed,2000.0,527.0,0.2635,20,2012-04-03 21:52:00+00:00,4,"$5,$15,$25,$50",1,0,31.12
519562133,Zombie Fried: The Card Game,http://www.kickstarter.com/projects/396776259/zombie-fried-the-card-game,Games,Board & Card Games,"Indianapolis, IN",failed,7000.0,1521.0,0.217285714,41,2012-03-27 02:43:31+00:00,8,"$5,$15,$25,$50,$100,$150,$250,$500",18,5,29.96
522027647,'Heroic Chess' A legendary new board game!,http://www.kickstarter.com/projects/astral/become-part-of-a-legendary-new-board-game,Games,Board & Card Games,"Albuquerque, NM",failed,25000.0,50.0,0.002,2,2011-04-30 12:42:01+00:00,3,"$25,$50,$100",0,6,90.96
523625904,Number Soup and Other Recipes,http://www.kickstarter.com/projects/davmillar/number-soup-and-other-recipes,Games,Board & Card Games,"Kentwood, MI",failed,2500.0,15.0,0.006,3,2011-03-07 01:20:35+00:00,3,"$5,$20,$50",0,1,30.0
528152915,"THE GRID, A BicycleäÎÂ Playing Card Deck by 4PM DESIGNS",http://www.kickstarter.com/projects/4pm/the-grid-a-playing-card-deck-by-4pm-designs,Games,Board & Card Games,"Vineland, NJ",live,5000.0,38322.0,7.66433,1172,2012-06-22 19:01:04+00:00,49,"$8,$10,$11,$15,$18,$25,$25,$35,$40,$40,$40,$40,$43,$45,$45,$45,$45,$45,$45,$45,$49,$50,$50,$53,$63,$63,$63,$63,$69,$70,$73,$75,$93,$100,$100,$105,$120,$133,$145,$160,$175,$180,$250,$275,$300,$360,$530,$1,050,$1,100",21,92,56.0
532463275,Mali's Multi-sensory Math,http://www.kickstarter.com/projects/312183476/malis-multi-sensory-math,Games,Board & Card Games,"Millersville, MD",failed,1000.0,50.0,0.05,2,2011-11-25 00:11:37+00:00,4,"$10,$15,$20,$30",0,0,60.04
542221730,Parley: A New Social Game,http://www.kickstarter.com/projects/parley/parley-a-new-social-game-help-us-get-to-market,Games,Board & Card Games,"Raleigh, NC",failed,10000.0,135.0,0.0135,1,2012-03-20 16:00:00+00:00,10,"$5,$25,$45,$65,$135,$285,$535,$1,500,$8,500,$10,000",1,0,59.95
544679735,Get Bit! Hilarious Shark/Robot Card Game for up to 6 Players,http://www.kickstarter.com/projects/maydaygames/get-bit-hilarious-shark-robot-card-game-for-up-to,Games,Board & Card Games,"Layton, UT",successful,1500.0,13750.0,9.166886667,422,2011-09-07 21:51:01+00:00,26,"$1,$4,$6,$18,$19,$21,$22,$23,$23,$25,$27,$30,$30,$34,$35,$38,$41,$46,$50,$59,$60,$69,$120,$150,$155,$185",10,102,15.0
548573028,5 to Close -- Retro Style Word Strategy Game,http://www.kickstarter.com/projects/1620229841/5-to-close-retro-style-word-strategy-game,Games,Board & Card Games,"Spokane, WA",failed,7000.0,1069.0,0.152714286,39,2012-02-26 20:06:04+00:00,11,"$1,$5,$15,$24,$39,$79,$149,$399,$699,$999,$1,499",4,2,45.0
550429733,Exile Sun - Multiplayer Conflict... Redefined,http://www.kickstarter.com/projects/gameknightgames/exile-sun-multiplayer-conflict-redefined,Games,Board & Card Games,"Memphis, TN",successful,18000.0,23115.0,1.284138889,370,2011-12-31 03:30:00+00:00,9,"$1,$40,$40,$50,$80,$80,$105,$150,$250",31,70,45.44
552430094,Io Prime - A Citybuilding Game in Space,http://www.kickstarter.com/projects/jsantucci/io-prime-a-citybuilding-game-in-space,Games,Board & Card Games,"Tulsa, OK",failed,17000.0,710.0,0.041764706,11,2011-10-21 17:00:00+00:00,9,"$5,$15,$25,$45,$100,$200,$600,$2,500,$2,500",2,0,36.91
558865393,nothing¢_Î¢,http://www.kickstarter.com/projects/lanceaston/nothingtm,Games,Board & Card Games,"Los Angeles, CA",failed,9999.0,2862.0,0.286228623,44,2012-02-15 07:59:00+00:00,7,"$5,$15,$20,$45,$99,$199,$999",6,5,29.26
564405074,BALLCRAPS,http://www.kickstarter.com/projects/1902017542/ballcraps,Games,Board & Card Games,"New York, NY",successful,2000.0,2300.0,1.15,27,2011-10-09 22:00:00+00:00,8,"$1,$18,$40,$50,$80,$100,$150,$6,500",4,0,26.93
567788397,Artisan Dice,http://www.kickstarter.com/projects/1929694110/artisan-dice,Games,Board & Card Games,"Mesquite, TX",successful,300.0,91542.0,305.1409333,1131,2012-04-07 04:10:57+00:00,40,"$7,$21,$22,$23,$27,$27,$38,$49,$55,$56,$57,$57,$57,$57,$57,$61,$63,$63,$65,$72,$77,$82,$82,$82,$82,$89,$91,$97,$107,$137,$149,$179,$179,$198,$231,$302,$302,$394,$513,$1,983",30,731,29.96
